=== ALPR OCR SESSION LOG ===
[2026-03-14 21:57:05] RAW: 'LAZHSSSO' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-03-14 21:57:14] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-03-14 21:57:21] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-03-14 21:57:27] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-03-14 21:57:34] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-03-14 21:57:40] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-03-14 21:57:45] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-03-14 21:57:52] RAW: 'AHSSSO' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-03-14 21:57:58] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-03-14 21:58:04] RAW: 'AZHSSOR' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-03-14 21:58:11] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-03-14 21:58:18] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-03-14 21:58:25] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-03-14 21:58:31] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-03-14 21:58:38] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-03-14 21:58:45] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-03-14 21:58:53] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
