=== ALPR OCR SESSION LOG ===
[2026-05-13 16:50:23] RAW: 'UCORA' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:50:32] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:50:41] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:50:51] RAW: 'PBBGI' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:50:59] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:51:13] RAW: '1766930' | TARGET: '1766930' | CONF: 44.0% | STATUS: SUCCESS
[2026-05-13 16:51:22] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:51:32] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:51:42] RAW: 'ERIS' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:51:52] RAW: 'PEB930' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:52:03] RAW: 'AGL' | TARGET: 'AGL' | CONF: 2.0% | STATUS: FAILED_CONFIDENCE (< 40%)
[2026-05-13 16:52:11] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:52:21] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:52:29] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:52:40] RAW: 'EIS' | TARGET: 'EIS' | CONF: 2.0% | STATUS: FAILED_CONFIDENCE (< 40%)
[2026-05-13 16:52:49] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:53:00] RAW: 'AEG' | TARGET: 'AEG' | CONF: 2.0% | STATUS: FAILED_CONFIDENCE (< 40%)
[2026-05-13 16:53:09] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:53:18] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:53:20] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:53:29] RAW: 'ERG' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:53:39] RAW: 'BID' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:53:49] RAW: '1PEB93 0' | TARGET: '0' | CONF: 56.0% | STATUS: SUCCESS
[2026-05-13 16:53:59] RAW: 'PEBGSO' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:54:08] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:54:18] RAW: '1PEBGSD' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:54:27] RAW: 'PERG' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:54:39] RAW: 'TN' | TARGET: 'TN' | CONF: 33.0% | STATUS: FAILED_CONFIDENCE (< 40%)
[2026-05-13 16:54:47] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:54:59] RAW: '16B930' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:55:09] RAW: 'PEBISN' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:55:17] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:55:26] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:55:35] RAW: 'EBISD' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:55:45] RAW: '1EB9S' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:55:54] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:56:02] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:56:12] RAW: '1PEEGSD' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:56:21] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:56:32] RAW: 'PEGS 0' | TARGET: '0' | CONF: 43.0% | STATUS: SUCCESS
[2026-05-13 16:56:42] RAW: 'IPEBGIO' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:56:50] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:57:00] RAW: 'PEGS' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:57:10] RAW: 'IPEBGIO' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:57:19] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:57:28] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:57:36] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:57:45] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:57:54] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:58:03] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:58:13] RAW: 'PEGS' | TARGET: 'PEGS' | CONF: 1.0% | STATUS: FAILED_CONFIDENCE (< 40%)
[2026-05-13 16:58:22] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
[2026-05-13 16:58:31] RAW: '' | TARGET: 'NONE' | CONF: 0.0% | STATUS: FAILED_NO_TEXT_FOUND (Tesseract returned empty)
